park,image,location,description
Alcatraz Island,<img src=https://www.nps.gov//customcf/apps/CMS_HandF/ParkSearchPics/8E231188-1DD8-B71C-0EFFEC7EA3648226.jpg></img>,"San Francisco, CA","Alcatraz reveals stories of American incarceration, justice, and our common humanity. This small island was once a fort, a military prison, and a maximum security federal penitentiary. In 1969, the Indians of All Tribes occupied Alcatraz for 19 months in the name of freedom and Native American civil rights. We invite you to explore Alcatraz's complex history and natural beauty."
Cabrillo,<img src=https://www.nps.gov//customcf/apps/CMS_HandF/ParkSearchPics/525E3A0A-FDEF-4C0B-79F7E6E420FAAD56.jpg></img>,"San Diego, CA","Climbing out of his boat and onto shore in 1542, Juan Rodriguez Cabrillo stepped into history as the first European to set foot on what is now the West Coast of the United States. In addition to telling the story of 16th century exploration, the park is home to a wealth of cultural and natural resources. Join us and embark on your own Voyage of Exploration."
California,<img src=https://www.nps.gov//customcf/apps/CMS_HandF/ParkSearchPics/EC434F10-1DD8-B71C-0E317FD49148F8D0.jpg></img>,"Various States CA,CO,ID,KS,MO,NE,NV,OR,UT,WY","Follow in the footsteps of over 250,000 emigrants who traveled to the gold fields and rich farmlands of California during the 1840s and 1850s: the greatest mass migration in American history. The California National Historic Trail is over 5,000 miles long and covers portions of 10 states. Step into history along more than 1,000 miles of ruts and traces from travelers and their overland wagons."
Castle Mountains,<img src=https://www.nps.gov//customcf/apps/CMS_HandF/ParkSearchPics/C9EF180A-1DD8-B71B-0B1551F65A80F5F3.jpg></img>,"Barstow, CA","Castle Mountains represents some of the most unique elements of the Mojave Desert. Nestled between the Nevada state line and Mojave National Preserve, the nearly 21,000 acres of Castle Mountains boasts Joshua tree forests, unbroken natural landscapes, rare desert grasslands, and rich human history. This intriguing area provides serenity and solitude from nearby metropolitan areas."
César E. Chávez,<img src=https://www.nps.gov//customcf/apps/CMS_HandF/ParkSearchPics/5D5F42C8-F648-750B-2B7191723A02FE7E.jpg></img>,CA,"Yes, we can!
Widely recognized as the most important Latino leader in the United States during the twentieth century, César E. Chávez led farm workers and supporters in the establishment of the country's first permanent agricultural union. His leadership brought sustained international attention to the plight of U.S. farm workers, and secured for them higher wages and safer working conditions"
Channel Islands,<img src=https://www.nps.gov//customcf/apps/CMS_HandF/ParkSearchPics/C3F43C9B-1DD8-B71C-0E2389AFF76F592C.jpg></img>,"Ventura, CA","Channel Islands National Park encompasses five remarkable islands and their ocean environment, preserving and protecting a wealth of natural and cultural resources. Isolation over thousands of years has created unique animals, plants, and archeological resources found nowhere else on Earth and helped preserve a place where visitors can experience coastal southern California as it once was."
Death Valley,<img src=https://www.nps.gov//customcf/apps/CMS_HandF/ParkSearchPics/00542D46-FA04-DAE3-3B63820EE4116240.jpg></img>,"Death Valley, CA,NV","In this below-sea-level basin, steady drought and record summer heat make Death Valley a land of extremes. Yet, each extreme has a striking contrast. Towering peaks are frosted with winter snow. Rare rainstorms bring vast fields of wildflowers. Lush oases harbor tiny fish and refuge for wildlife and humans. Despite its morbid name, a great diversity of life survives in Death Valley."
Devils Postpile,<img src=https://www.nps.gov//customcf/apps/CMS_HandF/ParkSearchPics/91F10D3F-1DD8-B71C-0E9C7EF5D83753AE.jpg></img>,"the Sierra Nevada near     Mammoth Lakes, CA","Established in 1911 by presidential proclamation, Devils Postpile National Monument protects and preserves the Devils Postpile formation, the 101-foot high Rainbow Falls, and pristine mountain scenery.  The formation is a rare sight in the geologic world and ranks as one of the world's finest examples of columnar basalt. Its' columns tower up to 60 feet and display a striking symmetry."
Eugene O'Neill,<img src=https://www.nps.gov//customcf/apps/CMS_HandF/ParkSearchPics/BAF8516A-EAD8-2CC4-7E9C7DB29086766E.jpg></img>,"Danville, CA","America's only Nobel Prize winning playwright, Eugene O'Neill, chose to live in Northern California at the height of his writing career. Isolated from the world and within the walls of his home, O'Neill wrote his final and most memorable plays; The Iceman Cometh, Long Day's Journey Into Night, and A Moon for the Misbegotten."
Fort Point,<img src=https://www.nps.gov//customcf/apps/CMS_HandF/ParkSearchPics/BC09244B-1DD8-B71C-0EC37DA8C33D1CF6.jpg></img>,"Presidio of San Francisco, CA","From its vantage point overlooking the spectacular Golden Gate, Fort Point defended the San Francisco Bay following California's Gold Rush through World War II. Its beautifully arched casemates display the art of 3rd system brick masonry and interacts gracefully with the Golden Gate Bridge."
Golden Gate,<img src=https://www.nps.gov//customcf/apps/CMS_HandF/ParkSearchPics/22F4EB7E-B50A-F16D-E35A0083CB6129B9.jpg></img>,"San Francisco, CA","Experience a park so rich it supports 19 distinct ecosystems with over 2,000 plant and animal species. Go for a hike, enjoy a vista, have a picnic or learn about the centuries of overlapping history from California’s indigenous cultures, Spanish colonialism, the Mexican Republic, US military expansion and the growth of San Francisco. All of this and more awaits you, so get out and find your park."
